step,loss,acc,eos_acc,gnorm,lr,n_tok,noise_p
219,2.4137842655181885,0.3664827048778534,0.0,1.9765625,0.0005999795285182698,9422,0.0654
220,2.176496744155884,0.45005545020103455,0.0625,2.140625,0.0005999771907557296,9921,0.0657
221,2.223658323287964,0.43792659044265747,0.0625,3.421875,0.000599974726634332,15530,0.066
222,2.3314244747161865,0.41479912400245667,0.375,2.8125,0.0005999721361551325,9906,0.0663
223,2.309269666671753,0.4229249060153961,0.1875,4.0625,0.0005999694193192407,10120,0.06659999999999999
224,2.7087316513061523,0.3257082998752594,0.375,3.21875,0.0005999665761278205,17224,0.0669
225,2.1112639904022217,0.4690368175506592,0.0625,2.59375,0.0005999636065820898,8607,0.0672
226,2.4275214672088623,0.3813469409942627,0.3125,2.59375,0.0005999605106833207,4707,0.0675
227,2.8241524696350098,0.27401745319366455,0.6875,2.46875,0.0005999572884328392,10076,0.0678
228,2.22426176071167,0.3798394799232483,0.4375,2.296875,0.0005999539398320259,19811,0.0681
229,2.324655532836914,0.4062080681324005,0.5625,2.625,0.000599950464882315,11920,0.0684
230,2.1822848320007324,0.408084511756897,0.375,1.984375,0.0005999468635851952,10885,0.0687
231,2.106003999710083,0.4571540057659149,0.625,2.703125,0.000599943135942209,20492,0.069
232,2.094137191772461,0.45151564478874207,0.4375,1.765625,0.0005999392819549535,11942,0.0693
233,2.6622538566589355,0.2778666615486145,0.375,2.671875,0.0005999353016250794,9375,0.0696
234,2.2994115352630615,0.3699691593647003,0.1875,2.65625,0.0005999311949542917,13939,0.0699
235,2.3583931922912598,0.35453978180885315,0.125,2.03125,0.0005999269619443498,11223,0.0702
236,2.1277620792388916,0.45695751905441284,0.125,2.0625,0.0005999226025970668,13719,0.0705
237,2.0446853637695312,0.5099210739135742,0.0625,2.453125,0.00059991811691431,8870,0.07079999999999999
238,1.8429282903671265,0.5502107739448547,0.0,2.015625,0.0005999135048980013,9251,0.0711
239,2.4435276985168457,0.3797881007194519,0.0,2.28125,0.000599908766550116,6135,0.07139999999999999
240,2.4209015369415283,0.32922908663749695,0.0,3.84375,0.0005999039018726841,12751,0.0717
241,2.1230034828186035,0.38952818512916565,0.125,2.109375,0.0005998989108677893,13904,0.072
242,2.376192808151245,0.42454954981803894,0.125,2.4375,0.0005998937935375696,8880,0.07229999999999999
243,2.291717767715454,0.4051680564880371,0.3125,2.328125,0.0005998885498842173,11842,0.0726
244,1.9876750707626343,0.5354090332984924,0.125,2.15625,0.0005998831799099782,6552,0.07289999999999999
245,1.8145935535430908,0.5428268909454346,0.25,2.65625,0.0005998776836171531,16987,0.0732
246,2.5963995456695557,0.3785485625267029,0.1875,2.5,0.0005998720610080962,9370,0.0735
247,2.250415086746216,0.41639095544815063,0.625,1.9140625,0.000599866312085216,17229,0.07379999999999999
248,2.279031991958618,0.38756251335144043,0.5625,2.515625,0.0005998604368509753,12398,0.0741
249,1.801175594329834,0.5269954204559326,0.0625,3.625,0.0005998544353078907,23930,0.0744
250,2.38608980178833,0.34529581665992737,0.5625,2.421875,0.0005998483074585332,11341,0.0747
251,2.188138008117676,0.3974865972995758,0.4375,1.625,0.0005998420533055278,14164,0.075
252,2.32047963142395,0.4210153818130493,0.375,2.265625,0.0005998356728515535,11306,0.07529999999999999
253,2.4717490673065186,0.36591851711273193,0.375,3.828125,0.0005998291660993433,9401,0.0756
254,2.7333765029907227,0.34661999344825745,0.9375,2.890625,0.0005998225330516849,7426,0.0759
255,2.04648756980896,0.5230204463005066,0.0625,2.84375,0.0005998157737114194,11164,0.0762
256,2.1200852394104004,0.38733094930648804,0.0625,2.640625,0.0005998088880814425,13087,0.0765
257,2.247411012649536,0.38957902789115906,0.0,3.921875,0.0005998018761647035,25679,0.0768
258,2.189762830734253,0.4069582223892212,0.0,2.265625,0.0005997947379642063,11296,0.0771
259,2.4274706840515137,0.36655837297439575,0.0,3.34375,0.0005997874734830085,8618,0.0774
260,2.191129684448242,0.4563763439655304,0.0,2.296875,0.0005997800827242222,13307,0.0777
261,2.1274688243865967,0.4046637713909149,0.0,2.8125,0.0005997725656910132,9220,0.078
262,2.187056541442871,0.4531729817390442,0.0,2.65625,0.0005997649223866016,11724,0.0783
263,2.09145188331604,0.4047156274318695,0.0,2.875,0.0005997571528142615,23157,0.0786
264,2.304753541946411,0.39100056886672974,0.0625,2.015625,0.0005997492569773214,12023,0.0789
265,2.1807610988616943,0.4130364656448364,0.125,1.7109375,0.0005997412348791632,15495,0.0792
266,2.2666380405426025,0.3886796832084656,0.0,2.0625,0.0005997330865232236,8498,0.0795
267,1.9673563241958618,0.5088362693786621,0.0625,2.09375,0.0005997248119129929,5998,0.0798
268,2.4521777629852295,0.37826594710350037,0.1875,1.8046875,0.000599716411052016,15386,0.0801
269,2.3779072761535645,0.3495495617389679,0.1875,2.0,0.0005997078839438913,16095,0.0804
270,2.075420618057251,0.41581007838249207,0.0625,1.515625,0.0005996992305922715,19165,0.08070000000000001
271,2.443157911300659,0.34069961309432983,0.25,1.7265625,0.0005996904510008637,9005,0.081
272,2.6111414432525635,0.3464486598968506,0.5625,2.015625,0.0005996815451734286,9785,0.0813
273,2.0952703952789307,0.45943647623062134,0.25,1.9609375,0.000599672513113781,24702,0.0816
274,2.3202743530273438,0.3671802580356598,0.25,2.890625,0.0005996633548257903,10774,0.0819
275,2.2060837745666504,0.42129191756248474,0.0625,1.28125,0.0005996540703133795,16936,0.08220000000000001
276,2.686145782470703,0.34639254212379456,0.0625,2.015625,0.0005996446595805258,5156,0.0825
277,2.1236491203308105,0.4695962965488434,0.375,1.8046875,0.0005996351226312603,13995,0.0828
278,1.7040843963623047,0.5742168426513672,0.125,1.90625,0.0005996254594696685,16600,0.08310000000000001
279,2.1165711879730225,0.42903774976730347,0.0625,1.890625,0.0005996156700998897,14092,0.0834
280,2.145724058151245,0.4156123101711273,0.3125,1.7890625,0.0005996057545261175,20945,0.08370000000000001
281,2.2329604625701904,0.35464367270469666,0.1875,2.984375,0.0005995957127525992,14719,0.084
282,2.11851167678833,0.4032517969608307,0.25,1.9375,0.0005995855447836365,13039,0.0843
283,2.2729926109313965,0.4311509132385254,0.375,1.8671875,0.000599575250623585,14067,0.0846
284,2.1443161964416504,0.4625122547149658,0.25,1.6171875,0.0005995648302768545,13271,0.08489999999999999
