track,r1_f1,r2_f1,d_f1,r1_p,r2_p,r1_r,r2_r,p_effect,r_effect,r1_offset_f1,r2_offset_f1,r1_n_pred,r2_n_pred,n_gt,r1_ratio,r2_ratio,r1_trunc,r2_trunc,r1_bnd,r2_bnd,r1_switches,r2_switches,d_switches,r1_inst_f1,r2_inst_f1,duration_s,gt_density_per_s,gt_polyphony_mean,gt_drum_share,gt_median_duration_s
Track02019,0.0003246577566149018,0.05553639185926181,0.05521173410264691,0.0002002803925495694,0.0701219512195122,0.0008566533409480297,0.04597372929754426,0.02825276961784676,0.02695896448480015,0.0003246577566149018,0.05519144532597448,14979,2296,3502,4.277270131353513,0.655625356938892,56,0,37,0,3,4,1,0.0003246577566149018,0.05553639185926181,295.51,12.367566040401188,3.396702230843841,0.39663049685893775,0.21999999999999886
Track02026,0.0042040585334303495,0.0012938702895034773,-0.002910188243926872,0.003296563966020033,0.0023515579071134627,0.005800981704596163,0.000892458723784025,-0.00048415400558288093,-0.0024260342383439913,0.0019403347077370848,0.0,7887,1701,4482,1.7597054886211512,0.3795180722891566,8,0,6,0,18,0,-18,0.0042040585334303495,0.0012938702895034773,166.07,28.130295612878932,6.081411126187246,0.1253904506916555,0.1700000000000017
Track02029,0.0004385724466860369,0.0,-0.0004385724466860369,0.0002598414966870209,0.0,0.0014049877063575693,0.0,-0.00021928622334301844,-0.00021928622334301844,0.0004385724466860369,0.0,15394,1953,2847,5.407095187917106,0.6859852476290832,35,0,23,0,14,3,-11,0.0004385724466860369,0.0,268.89,11.02505518336367,3.760898282694848,0.2557077625570776,0.44999999999998863
Track02030,0.005591277606933185,0.05706404620291355,0.051472768595980364,0.00639386189258312,0.09326570865032403,0.004967709885742673,0.04110779930452062,0.024919645306230958,0.026553123289749406,0.0,0.015860701663649685,6256,3549,8052,0.776949826130154,0.44076005961251863,0,0,0,0,0,0,0,0.005591277606933185,0.05706404620291355,355.25,23.53422575553867,3.142857142857143,0.43517138599105815,0.13999999999998636
Track02037,0.0,0.0021244108079399855,0.0021244108079399855,0.0,0.002373887240356083,0.0,0.001922383755857263,0.0010622054039699928,0.0010622054039699928,0.0,0.0019916351324437364,12299,6740,8323,1.4777123633305298,0.8098041571548721,36,0,34,0,2,10,8,0.0,0.0021244108079399855,326.9,26.10891523935002,2.263530051672559,0.5446353478313108,0.010000000000019327
Track02038,0.0014273950041174856,0.04410528358015909,0.0426778885760416,0.00098098400241473,0.03247619047619048,0.002619383437437034,0.06870844247430989,0.022795652985957985,0.01988223559008362,0.0006587976942080702,0.026256224535989133,13252,10500,4963,2.6701591779165827,2.1156558533145273,27,0,25,0,11,1,-10,0.0014273950041174856,0.04410528358015909,296.22,17.475352112676056,3.8059815950920246,0.17993149304855935,0.4299999999999997
Track02044,0.0007174458926222648,0.02241847826086956,0.021701032368247296,0.0007071302298173247,0.025466893039049237,0.0007280669821623589,0.02002184200946487,0.010875339353311047,0.01082569301493625,0.0004782972617481765,0.017391304347826087,8485,6479,8241,1.0296080572746027,0.7861909962383206,14,0,12,0,8,0,-8,0.0007174458926222648,0.02241847826086956,196.46,44.185298375422235,5.296272493573265,0.21490110423492295,0.18999999999999773
Track02045,0.00012368583797155226,0.04913831197525408,0.04901462613728253,0.00013368983957219252,0.1059047619047619,0.00011507479861910241,0.03199079401611047,0.024489129490641328,0.024525496646641203,0.00012368583797155226,0.048608042421564294,7480,2625,8690,0.8607594936708861,0.3020713463751438,29,0,27,0,2,1,-1,0.00012368583797155226,0.04913831197525408,271.26,34.317984361424855,2.2191011235955056,0.2965477560414269,0.12999999999999545
Track02047,0.0029936305732484077,0.06295156122384872,0.059957930650600316,0.0024399107096506256,0.13253968253968254,0.0038724561258960204,0.04127873444838098,0.03143774970497043,0.02852018094562988,0.0029936305732484077,0.05629201482691462,19263,3780,12137,1.5871302628326605,0.3114443437422757,26,0,24,0,14,1,-13,0.0029936305732484077,0.06295156122384872,367.33,33.82570162481536,4.50018539117538,0.2935651314163302,0.07000000000005002
Track02048,0.0,0.011323862466543133,0.011323862466543133,0.0,0.036715620827770364,0.0,0.006694255111976631,0.005661931233271566,0.005661931233271566,0.0,0.011323862466543133,7289,1498,8216,0.8871713729308666,0.1823271665043817,37,0,35,0,13,4,-9,0.0,0.011323862466543133,296.5,28.792710706150338,2.8627177700348434,0.1605404089581305,0.0800000000000125
