track,mode,category,value
Track01889,continuous,tp_drum,72
Track01889,continuous,miss_drum,1538
Track01889,continuous,fp_drum,3318
Track01889,continuous,tp_pitched,0
Track01889,continuous,tp_pitched_offset_ok,0
Track01889,continuous,tp_pitched_offset_short,0
Track01889,continuous,tp_pitched_offset_long,0
Track01889,continuous,mean_offset_delta_ticks_pitched,nan
Track01889,continuous,mean_duration_ratio_pitched,nan
Track01889,continuous,precision,0.00843882
Track01889,continuous,recall,0.0176082
Track01889,continuous,f1,0.0114096
Track01889,continuous,mean_onset_delta_ticks,3.01389
Track01889,continuous,mean_offset_delta_ticks,0.0694444
Track01889,continuous,mean_duration_ratio,1.00694
Track01889,reset,n_gt,4089
Track01889,reset,n_pred,23139
Track01889,reset,tp_onset,87
Track01889,reset,tp_offset_ok,10
Track01889,reset,tp_offset_short,77
Track01889,reset,tp_offset_long,0
Track01889,reset,miss_timing_near,120
Track01889,reset,miss_same_pitch_far,2213
Track01889,reset,miss_octave,27
Track01889,reset,miss_program_swap,7
Track01889,reset,miss_no_candidate,1635
Track01889,reset,fp_timing,14851
Track01889,reset,fp_octave,23
Track01889,reset,fp_program_swap,17
Track01889,reset,fp_spurious_near,8113
Track01889,reset,fp_spurious_far,48
Track01889,reset,gt_drum,1610
Track01889,reset,pred_drum,3589
Track01889,reset,tp_drum,7
Track01889,reset,miss_drum,1603
Track01889,reset,fp_drum,3582
Track01889,reset,tp_pitched,80
Track01889,reset,tp_pitched_offset_ok,3
Track01889,reset,tp_pitched_offset_short,77
Track01889,reset,tp_pitched_offset_long,0
Track01889,reset,mean_offset_delta_ticks_pitched,-104.95
Track01889,reset,mean_duration_ratio_pitched,0.145182
Track01889,reset,precision,0.00375989
Track01889,reset,recall,0.0212766
Track01889,reset,f1,0.00639048
Track01889,reset,mean_onset_delta_ticks,2.02299
Track01889,reset,mean_offset_delta_ticks,-96.4713
Track01889,reset,mean_duration_ratio,0.214483
Track01895,continuous,n_gt,4770
Track01895,continuous,n_pred,3378
Track01895,continuous,tp_onset,418
Track01895,continuous,tp_offset_ok,364
Track01895,continuous,tp_offset_short,28
Track01895,continuous,tp_offset_long,26
Track01895,continuous,miss_timing_near,571
Track01895,continuous,miss_same_pitch_far,8
Track01895,continuous,miss_octave,52
Track01895,continuous,miss_program_swap,16
Track01895,continuous,miss_no_candidate,3705
Track01895,continuous,fp_timing,2960
Track01895,continuous,fp_octave,0
Track01895,continuous,fp_program_swap,0
Track01895,continuous,fp_spurious_near,0
Track01895,continuous,fp_spurious_far,0
Track01895,continuous,gt_drum,1010
Track01895,continuous,pred_drum,1141
Track01895,continuous,tp_drum,311
Track01895,continuous,miss_drum,699
Track01895,continuous,fp_drum,830
Track01895,continuous,tp_pitched,107
Track01895,continuous,tp_pitched_offset_ok,53
Track01895,continuous,tp_pitched_offset_short,28
Track01895,continuous,tp_pitched_offset_long,26
Track01895,continuous,mean_offset_delta_ticks_pitched,0.252336
Track01895,continuous,mean_duration_ratio_pitched,1.25643
Track01895,continuous,precision,0.123742
Track01895,continuous,recall,0.087631
Track01895,continuous,f1,0.102602
Track01895,continuous,mean_onset_delta_ticks,2.79665
Track01895,continuous,mean_offset_delta_ticks,0
Track01895,continuous,mean_duration_ratio,0.9227
Track01895,reset,n_gt,4770
Track01895,reset,n_pred,10918
Track01895,reset,tp_onset,416
Track01895,reset,tp_offset_ok,383
Track01895,reset,tp_offset_short,27
Track01895,reset,tp_offset_long,6
Track01895,reset,miss_timing_near,396
Track01895,reset,miss_same_pitch_far,1812
Track01895,reset,miss_octave,36
Track01895,reset,miss_program_swap,12
Track01895,reset,miss_no_candidate,2098
Track01895,reset,fp_timing,4590
Track01895,reset,fp_octave,35
Track01895,reset,fp_program_swap,41
Track01895,reset,fp_spurious_near,5824
Track01895,reset,fp_spurious_far,12
Track01895,reset,gt_drum,1010
Track01895,reset,pred_drum,3016
