track,mode,official_matched,recomputed_matched,official_f1,recomputed_f1,official_n_pred,recomputed_n_pred,official_n_gt,recomputed_n_gt,official_offset_matched,recomputed_offset_matched,official_inst_matched,recomputed_inst_matched
Track02014,continuous,40,182,0.009413979759943516,0.042833607907743,2646,2646,5852,5852,0,0,40,182
Track02014,reset,349,395,0.02960637936884968,0.0335086528673227,17724,17724,5852,5852,4,5,349,395
Track02019,continuous,161,247,0.05553639185926181,0.08520179372197309,2296,2296,3502,3502,160,246,161,247
Track02019,reset,370,461,0.04012144870960745,0.049989156365213616,14942,14942,3502,3502,335,401,370,461
Track02026,continuous,4,5,0.0012938702895034773,0.0016173378618793467,1701,1701,4482,4482,0,2,4,5
Track02026,reset,77,101,0.0076540755467196814,0.010039761431411531,15638,15638,4482,4482,43,55,77,101
Track02029,continuous,0,0,0.0,0.0,1953,1953,2847,2847,0,0,0,0
Track02029,reset,14,24,0.002055196711685261,0.0035231943628890195,10777,10777,2847,2847,7,14,14,24
Track02030,continuous,331,431,0.05706404620291355,0.07430393931557625,3549,3549,8052,8052,92,137,331,431
Track02030,reset,528,749,0.03038936372269705,0.04310915422026533,26697,26697,8052,8052,125,186,528,749
Track02037,continuous,16,190,0.0021244108079399855,0.025227378344287326,6740,6740,8323,8323,15,189,16,190
Track02037,reset,31,67,0.0017543859649122807,0.0037917374080362197,27017,27017,8323,8323,16,44,31,67
Track02038,continuous,341,455,0.04410528358015909,0.058850158442734266,10500,10500,4963,4963,203,284,341,455
Track02038,reset,134,170,0.013744999487126885,0.017437685916504256,14535,14535,4963,4963,111,122,134,170
Track02044,continuous,165,465,0.02241847826086956,0.06317934782608696,6479,6479,8241,8241,128,325,165,465
Track02044,reset,165,228,0.016289056715533837,0.02250851473419221,12018,12018,8241,8241,164,208,165,228
Track02045,continuous,278,450,0.04913831197525408,0.07954043305346885,2625,2625,8690,8690,275,445,278,450
Track02045,reset,1122,1310,0.06953611601747699,0.08118744383502216,23581,23581,8690,8690,874,1052,1122,1310
Track02047,continuous,501,703,0.06295156122384872,0.08833322862348432,3780,3780,12137,12137,448,651,501,703
