track,unit,class,chunk_len,pos,orig_tok,new_tok,notes_before,notes_after,notes_lost,notes_added,damage
Track01975,3,pitch,888,88,1067,1070,166,166,1,1,2
Track01975,3,pitch,888,398,1062,1044,166,166,1,1,2
Track01975,3,pitch,888,9,1060,1103,166,166,0,0,0
Track01975,3,shift,888,300,156,665,166,165,1,0,1
Track01975,3,shift,888,364,191,377,166,166,1,1,2
Track01975,3,shift,888,786,438,97,166,166,1,1,2
Track01975,3,shift,888,660,353,750,166,166,0,0,0
Track01975,3,shift,888,338,191,266,166,166,1,1,2
Track01975,3,shift,888,15,5,940,166,166,0,0,0
Track01975,3,velocity,888,838,1133,1132,166,165,1,0,1
Track01975,3,velocity,888,211,1133,1132,166,165,1,0,1
Track01975,3,velocity,888,36,1133,1132,166,165,1,0,1
Track01975,3,velocity,888,117,1132,1133,166,167,0,1,1
Track01975,3,velocity,888,66,1132,1133,166,167,0,1,1
Track01975,3,velocity,888,730,1133,1132,166,165,1,0,1
Track01975,3,drum,888,791,1319,1284,166,166,1,1,2
Track01975,3,drum,888,717,1319,1287,166,166,1,1,2
Track01975,3,drum,888,363,1307,1342,166,166,1,1,2
Track01975,3,drum,888,715,1301,1377,166,166,1,1,2
Track01975,3,drum,888,72,1319,1289,166,166,1,1,2
Track01975,3,drum,888,297,1301,1305,166,166,1,1,2
Track01978,0,program,301,291,1159,1236,45,45,3,3,6
Track01978,0,program,301,76,1159,1261,45,45,1,1,2
Track01978,0,program,301,144,1137,1200,45,45,5,5,10
Track01978,0,program,301,126,1223,1153,45,45,1,1,2
Track01978,0,program,301,283,1167,1136,45,45,1,1,2
Track01978,0,program,301,34,1167,1164,45,45,0,0,0
Track01978,0,pitch,301,81,1064,1020,45,45,1,1,2
Track01978,0,pitch,301,2,1063,1091,45,45,0,0,0
Track01978,0,pitch,301,293,1052,1019,45,45,1,1,2
Track01978,0,pitch,301,88,1075,1068,45,45,0,0,0
Track01978,0,pitch,301,277,1073,1093,45,45,1,1,2
Track01978,0,pitch,301,228,1044,1078,45,45,0,0,0
Track01978,0,shift,301,129,188,203,45,45,0,0,0
Track01978,0,shift,301,258,402,808,45,45,0,0,0
Track01978,0,shift,301,15,3,719,45,44,1,0,1
Track01978,0,shift,301,33,41,742,45,45,0,0,0
Track01978,0,shift,301,247,371,134,45,45,0,0,0
Track01978,0,shift,301,132,206,126,45,45,0,0,0
Track01978,0,velocity,301,171,1133,1132,45,44,1,0,1
Track01978,0,velocity,301,276,1133,1132,45,44,1,0,1
Track01978,0,velocity,301,31,1132,1133,45,46,0,1,1
Track01978,0,velocity,301,123,1133,1132,45,44,1,0,1
Track01978,0,velocity,301,292,1133,1132,45,44,1,0,1
Track01978,0,velocity,301,97,1132,1133,45,46,0,1,1
Track01978,1,program,304,27,1223,1198,41,41,0,0,0
Track01978,1,program,304,145,1167,1221,41,41,1,1,2
Track01978,1,program,304,74,1137,1259,41,41,5,5,10
Track01978,1,program,304,145,1167,1172,41,41,1,1,2
Track01978,1,program,304,284,1137,1255,41,41,2,2,4
Track01978,1,program,304,141,1159,1138,41,41,1,1,2
Track01978,1,pitch,304,178,1051,1075,41,41,0,0,0
Track01978,1,pitch,304,25,1061,1085,41,41,0,0,0
Track01978,1,pitch,304,256,1076,1017,41,41,0,0,0
Track01978,1,pitch,304,216,1044,1021,41,41,0,0,0
Track01978,1,pitch,304,227,1073,1057,41,41,0,0,0
Track01978,1,pitch,304,1,1045,1127,41,41,0,0,0
Track01978,1,shift,304,62,53,600,41,41,0,0,0
Track01978,1,shift,304,69,89,937,41,41,0,0,0
Track01978,1,shift,304,231,332,808,41,41,0,0,0
Track01978,1,shift,304,136,204,471,41,41,0,0,0
Track01978,1,shift,304,200,276,788,41,40,1,0,1
Track01978,1,shift,304,261,392,20,41,41,0,0,0
Track01978,1,velocity,304,212,1133,1132,41,40,1,0,1
Track01978,1,velocity,304,50,1133,1132,41,40,1,0,1
Track01978,1,velocity,304,99,1132,1133,41,42,0,1,1
Track01978,1,velocity,304,255,1132,1133,41,42,0,1,1
Track01978,1,velocity,304,87,1133,1132,41,40,1,0,1
Track01978,1,velocity,304,249,1133,1132,41,40,1,0,1
Track01978,2,program,265,126,1161,1166,31,31,0,0,0
Track01978,2,program,265,97,1135,1204,31,31,1,1,2
Track01978,2,program,265,219,1135,1214,31,31,1,1,2
Track01978,2,program,265,250,1137,1247,31,31,0,0,0
Track01978,2,program,265,219,1135,1213,31,31,1,1,2
Track01978,2,program,265,86,1135,1189,31,31,1,1,2
Track01978,2,pitch,265,13,1073,1051,31,31,0,0,0
Track01978,2,pitch,265,244,1063,1058,31,31,0,0,0
Track01978,2,pitch,265,13,1073,1087,31,31,0,0,0
Track01978,2,pitch,265,252,1051,1115,31,31,0,0,0
Track01978,2,pitch,265,57,1068,1061,31,31,0,0,0
Track01978,2,pitch,265,132,1068,1035,31,31,0,0,0
Track01978,2,shift,265,77,143,240,31,31,0,0,0
Track01978,2,shift,265,261,479,750,31,30,1,0,1
Track01978,2,shift,265,218,455,820,31,30,1,0,1
Track01978,2,shift,265,253,473,108,31,31,0,0,0
Track01978,2,shift,265,230,458,69,31,31,0,0,0
Track01978,2,shift,265,129,272,598,31,31,0,0,0
Track01978,2,velocity,265,101,1133,1132,31,30,1,0,1
Track01978,2,velocity,265,50,1132,1133,31,32,0,1,1
Track01978,2,velocity,265,59,1133,1132,31,30,1,0,1
Track01978,2,velocity,265,216,1132,1133,31,32,0,1,1
Track01978,2,velocity,265,90,1132,1133,31,32,0,1,1
Track01978,2,velocity,265,90,1132,1133,31,32,0,1,1
Track01978,3,program,255,228,1135,1154,38,38,0,0,0
Track01978,3,program,255,228,1135,1254,38,38,0,0,0
Track01978,3,program,255,131,1161,1156,38,38,2,2,4
Track01978,3,program,255,34,1161,1172,38,38,1,1,2
Track01978,3,program,255,131,1161,1154,38,38,2,2,4
Track01978,3,program,255,85,1137,1150,38,38,0,0,0
Track01978,3,pitch,255,140,1068,1006,38,38,0,0,0
Track01978,3,pitch,255,184,1059,1011,38,38,0,0,0
Track01978,3,pitch,255,51,1075,1026,38,38,0,0,0
Track01978,3,pitch,255,214,1045,1010,38,38,1,1,2
Track01978,3,pitch,255,113,1068,1080,38,38,0,0,0
Track01978,3,pitch,255,133,1047,1091,38,38,1,1,2
Track01978,3,shift,255,205,367,397,38,38,1,1,2
Track01978,3,shift,255,211,367,320,38,38,1,1,2
Track01978,3,shift,255,248,502,508,38,38,0,0,0
Track01978,3,shift,255,188,330,879,38,38,0,0,0
Track01978,3,shift,255,202,367,855,38,37,1,0,1
Track01978,3,shift,255,137,222,46,38,38,0,0,0
Track01978,3,velocity,255,128,1133,1132,38,37,1,0,1
Track01978,3,velocity,255,50,1132,1133,38,39,0,1,1
Track01978,3,velocity,255,225,1133,1132,38,37,1,0,1
Track01978,3,velocity,255,65,1133,1132,38,37,1,0,1
Track01978,3,velocity,255,61,1132,1133,38,39,0,1,1
Track01978,3,velocity,255,68,1132,1133,38,39,0,1,1
Track01876,0,shift,371,238,409,575,57,57,0,0,0
Track01876,0,shift,371,350,475,419,57,57,0,0,0
Track01876,0,shift,371,105,219,52,57,57,0,0,0
Track01876,0,shift,371,1,48,377,57,57,1,1,2
Track01876,0,shift,371,342,459,527,57,57,0,0,0
Track01876,0,shift,371,330,458,104,57,57,1,1,2
Track01876,0,program,371,38,1223,1243,57,57,1,1,2
Track01876,0,program,371,46,1161,1141,57,57,1,1,2
Track01876,0,program,371,140,1223,1255,57,57,1,1,2
Track01876,0,program,371,239,1137,1148,57,57,0,0,0
Track01876,0,program,371,295,1161,1244,57,57,1,1,2
Track01876,0,program,371,284,1161,1252,57,57,1,1,2
Track01876,0,velocity,371,91,1132,1133,57,58,0,1,1
Track01876,0,velocity,371,361,1133,1132,57,56,1,0,1
Track01876,0,velocity,371,121,1133,1132,57,56,1,0,1
Track01876,0,velocity,371,300,1132,1133,57,58,0,1,1
Track01876,0,velocity,371,217,1133,1132,57,56,1,0,1
Track01876,0,velocity,371,292,1133,1132,57,56,1,0,1
Track01876,0,pitch,371,237,1055,1086,57,57,1,1,2
Track01876,0,pitch,371,233,1060,1103,57,57,1,1,2
Track01876,0,pitch,371,278,1077,1021,57,57,0,0,0
Track01876,0,pitch,371,308,1065,1073,57,57,0,0,0
Track01876,0,pitch,371,122,1070,1069,57,57,1,1,2
Track01876,0,pitch,371,358,1070,1113,57,57,1,1,2
Track01876,1,program,355,288,1161,1195,42,42,1,1,2
Track01876,1,program,355,272,1137,1185,42,42,0,0,0
Track01876,1,program,355,238,1223,1217,42,42,1,1,2
Track01876,1,program,355,75,1137,1170,42,42,0,0,0
Track01876,1,program,355,17,1223,1153,42,42,0,0,0
Track01876,1,program,355,140,1168,1197,42,42,1,1,2
Track01876,1,pitch,355,30,1070,1056,42,42,0,0,0
Track01876,1,pitch,355,202,1076,1033,42,42,1,1,2
Track01876,1,pitch,355,97,1077,1050,42,42,1,1,2
Track01876,1,pitch,355,165,1070,1050,42,42,0,0,0
Track01876,1,pitch,355,252,1070,1045,42,42,0,0,0
Track01876,1,pitch,355,134,1069,1052,42,42,1,1,2
Track01876,1,shift,355,82,85,689,42,42,0,0,0
Track01876,1,shift,355,102,128,300,42,42,1,1,2
Track01876,1,shift,355,283,401,952,42,41,1,0,1
Track01876,1,shift,355,245,300,920,42,42,0,0,0
Track01876,1,shift,355,306,406,484,42,42,0,0,0
Track01876,1,shift,355,279,367,331,42,42,1,1,2
Track01876,1,velocity,355,179,1133,1132,42,41,1,0,1
Track01876,1,velocity,355,201,1133,1132,42,41,1,0,1
Track01876,1,velocity,355,340,1133,1132,42,41,1,0,1
Track01876,1,velocity,355,304,1132,1133,42,43,0,1,1
Track01876,1,velocity,355,187,1132,1133,42,43,0,1,1
Track01876,1,velocity,355,239,1133,1132,42,41,1,0,1
Track01876,2,program,492,66,1161,1239,80,80,0,0,0
Track01876,2,program,492,206,1151,1204,80,80,2,2,4
Track01876,2,program,492,325,1168,1217,80,80,1,1,2
Track01876,2,program,492,20,1161,1173,80,80,1,1,2
Track01876,2,program,492,56,1161,1230,80,80,1,1,2
Track01876,2,program,492,7,1183,1161,80,80,0,0,0
Track01876,2,pitch,492,289,1093,1092,80,80,0,0,0
Track01876,2,pitch,492,233,1074,1114,80,80,0,0,0
Track01876,2,pitch,492,440,1091,1020,80,80,0,0,0
Track01876,2,pitch,492,460,1038,1083,80,80,0,0,0
Track01876,2,pitch,492,306,1041,1016,80,80,0,0,0
Track01876,2,pitch,492,298,1094,1097,80,80,1,1,2
Track01876,2,shift,492,303,242,87,80,80,0,0,0
Track01876,2,shift,492,277,242,939,80,79,1,0,1
Track01876,2,shift,492,368,310,140,80,80,1,1,2
Track01876,2,shift,492,476,446,962,80,79,1,0,1
Track01876,2,shift,492,105,131,804,80,80,0,0,0
Track01876,2,shift,492,223,173,597,80,79,1,0,1
Track01876,2,velocity,492,232,1132,1133,80,81,0,1,1
Track01876,2,velocity,492,385,1132,1133,80,81,0,1,1
Track01876,2,velocity,492,489,1132,1133,80,81,0,1,1
Track01876,2,velocity,492,396,1133,1132,80,79,1,0,1
Track01876,2,velocity,492,455,1132,1133,80,81,0,1,1
Track01876,2,velocity,492,459,1132,1133,80,81,0,1,1
Track01876,2,drum,492,96,1308,1297,80,80,1,1,2
Track01876,2,drum,492,450,1301,1340,80,80,1,1,2
Track01876,2,drum,492,74,1305,1277,80,80,1,1,2
Track01876,2,drum,492,315,1309,1344,80,80,1,1,2
Track01876,2,drum,492,171,1309,1286,80,80,1,1,2
Track01876,2,drum,492,169,1301,1337,80,80,1,1,2
Track01876,3,program,596,0,1137,1209,101,101,0,0,0
Track01876,3,program,596,288,1168,1196,101,101,0,0,0
Track01876,3,program,596,435,1137,1203,101,101,0,0,0
Track01876,3,program,596,453,1164,1234,101,101,1,1,2
